EXECUTION_IDENTIFIER;FAULT_LOCALIZATION;FL_METRIC;OUTPUT_STATUS;NR_FAILLING_COMPILATIONS;NR_GENERATIONS;TOTAL_TIME;0/VARIANT_ID;0/VALIDATION;0/patchhunks/0/LINE;0/patchhunks/0/SUSPICIOUNESS;0/patchhunks/0/MP_RANKING;NR_RIGHT_COMPILATIONS
Math 2;flacoco;barinel;STOP_BY_PATCH_FOUND;18;36;209.996;72;|true|0|5195|[]|;138;0,016;30;18
Math 2;flacoco;dstar;STOP_BY_PATCH_FOUND;326;822;625.638;1644;|true|0|5195|[]|;138;0,014;189;496
Math 2;flacoco;jaccard;STOP_BY_PATCH_FOUND;18;36;216.388;72;|true|0|5195|[]|;138;0,016;30;18
Math 2;flacoco;ochiai;STOP_BY_PATCH_FOUND;34;71;224.881;142;|true|0|5195|[]|;129;0,12;34;37
Math 2;flacoco;op2;STOP_BY_PATCH_FOUND;42;70;223.816;140;|true|0|5195|[]|;137;0,987;29;28
Math 2;flacoco;tarantula;STOP_BY_PATCH_FOUND;14;27;211.672;54;|true|0|5195|[]|;129;0,986;34;13
Math 5;flacoco;barinel;STOP_BY_PATCH_FOUND;52;94;220.822;188;|true|0|4949|[]|;305;1;0;42
Math 5;flacoco;dstar;TIME_OUT;2040;6137;3600.044;;;;;;4097
Math 5;flacoco;jaccard;STOP_BY_PATCH_FOUND;52;94;220.436;188;|true|0|4949|[]|;305;1;0;42
Math 5;flacoco;ochiai;STOP_BY_PATCH_FOUND;104;154;227.044;308;|true|0|4949|[]|;305;1;0;50
Math 5;flacoco;op2;STOP_BY_PATCH_FOUND;360;484;283.459;968;|true|0|4949|[]|;305;1;0;124
Math 5;flacoco;tarantula;STOP_BY_PATCH_FOUND;360;484;285.895;968;|true|0|4949|[]|;305;1;0;124
Math 7;flacoco;barinel;TIME_OUT;322;864;3602.575;;;;;;542
Math 7;flacoco;dstar;TIME_OUT;826;2165;3602.548;;;;;;1339
Math 7;flacoco;jaccard;TIME_OUT;329;881;3600.347;;;;;;552
Math 7;flacoco;ochiai;STOP_BY_PATCH_FOUND;58;137;371.227;274;|true|0|4933|[]|;109;0,088;449;79
Math 7;flacoco;op2;TIME_OUT;541;1062;3600.319;;;;;;521
